date,district,probability,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,rainfall_max_3d,rainfall_max_7d,rainy_days_7d,soil_moisture,mean_elevation,mean_slope
2023-06-24,Rudra Prayag,0.035927171546643266,20.388659351801305,44.51141189721559,60.160589420760985,94.60727075647326,133.83735500970448,20.388659351801305,20.388659351801305,7.0,0.2565687462184494,2910.091761961188,30.96714223291616
2023-07-08,Udham Singh Nagar,0.0491670315437855,40.55215320273427,137.92501533441035,170.9749960594514,264.69737055431403,299.8330681350412,49.29775679928432,49.29775679928432,7.0,0.312550002233841,228.0287057108548,2.44388995090817
2023-06-22,Rudra Prayag,0.0709756529722305,5.008678631591311,11.335524772752253,33.94497500272924,57.08873260484877,126.48233263771368,5.008678631591311,9.134797699131482,7.0,0.2455873838406899,2910.091761961188,30.96714223291616
2023-06-23,Rudra Prayag,0.07313340311567758,19.11407391382301,26.72329653157867,48.90672776809116,75.41581172189662,124.96223425063366,19.11407391382301,19.11407391382301,7.0,0.248594292942051,2910.091761961188,30.96714223291616
2023-07-07,Udham Singh Nagar,0.09292316153750155,49.29775679928432,104.27330830519564,138.4722346375707,238.2127998250748,259.2809149323069,49.29775679928432,49.29775679928432,7.0,0.3034863253127692,228.0287057108548,2.44388995090817
2023-07-08,Rudra Prayag,0.1506342749545871,35.34703202628963,72.93326789309204,108.47987850065113,189.70414724105484,286.2956131115279,35.34703202628963,35.34703202628963,7.0,0.312550002233841,2910.091761961188,30.96714223291616
2023-07-09,Rudra Prayag,0.17140103160479614,10.642117209022215,56.83820081470604,112.85041897160598,164.0916936287737,296.1507355237749,35.34703202628963,35.34703202628963,7.0,0.3265428092977354,2910.091761961188,30.96714223291616
2023-07-06,Udham Singh Nagar,0.18829295737475618,48.07510533239176,62.33529934053429,96.74185645419011,190.4972895187755,209.98315813302256,48.07510533239176,48.07510533239176,7.0,0.2947666180930558,228.0287057108548,2.44388995090817
2023-08-19,Tehri Garhwal,0.23399667197749677,5.672877778401499,62.52805859868253,123.2110123455995,176.3806932395172,403.71383470181314,34.9665809539074,43.71311182453711,5.0,0.3517875777967667,1913.8547353637728,28.398587479030688
2023-06-24,Uttarkashi,0.23652281096379812,16.734105487892066,24.67160890649443,40.2915301735617,65.3322197170562,134.11676512128716,16.734105487892066,16.734105487892066,7.0,0.2565687462184494,3255.0149193410907,30.129926214487547
2023-07-10,Rudra Prayag,0.23872054675732077,36.450064775441646,82.43921401075346,140.815696329368,188.65730790531163,331.403599981992,36.450064775441646,36.450064775441646,7.0,0.331875235739935,2910.091761961188,30.96714223291616
2023-06-23,Uttarkashi,0.2451503590460128,3.530205203645423,10.82887298506268,30.051320650917503,50.72020656838491,129.07318497772252,4.4072982149569,6.4938959652478685,7.0,0.248594292942051,3255.0149193410907,30.129926214487547
2023-06-22,Uttarkashi,0.24859074363585998,4.4072982149569,13.397994411624868,31.20320396499604,48.0171366804025,146.55388040149657,6.099326630207608,6.4938959652478685,7.0,0.2455873838406899,3255.0149193410907,30.129926214487547
2023-07-07,Uttarkashi,0.25091157831527977,2.896623768695427,13.74560800288974,26.265990837069022,79.7976915376965,134.4544820360135,8.935302841885864,8.935302841885864,7.0,0.3034863253127692,3255.0149193410907,30.129926214487547
2023-07-08,Pithoragarh,0.259226644209068,14.159586917235666,39.30582600572866,62.11084879146166,126.61217795229356,212.53405975781237,14.159586917235666,14.159586917235666,7.0,0.312550002233841,3316.336294233949,30.971982332445258
2023-08-11,Dehra Dun,0.272781679119615,5.288416999429779,70.38043028751915,89.22417681119282,146.70813422050563,358.28463268875385,39.34690218136482,39.34690218136482,7.0,0.3577252230090441,1077.7870418407997,17.60159251870148
2023-07-06,Dehra Dun,0.28088203563151004,1.930252071834657,17.314975048872867,36.504178464106445,148.94306857839308,176.55072874291685,10.919111198618872,10.919111198618872,6.0,0.2947666180930558,1077.7870418407997,17.60159251870148
2023-08-12,Tehri Garhwal,0.29133106605938125,1.3665201770228892,24.44165589789569,53.16968089391776,136.44397224617285,370.64495337309233,13.074919144389796,13.074919144389796,7.0,0.3555796120554151,1913.8547353637728,28.398587479030688
2023-07-09,Uttarkashi,0.2962959519839205,57.861737239971575,107.12393479844565,123.39532377484512,147.4026222771163,234.7452091358316,57.861737239971575,57.861737239971575,7.0,0.3265428092977354,3255.0149193410907,30.129926214487547
2023-08-24,Chamoli,0.29688937097603507,4.040796248813864,92.7029626238936,119.6163703770932,193.21077399298213,332.90104848535645,64.54963943679908,64.54963943679908,7.0,0.3679168597839693,3582.915452996762,30.55938276503016
