date,district,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,rainfall_max_3d,rainfall_max_7d,rainy_days_7d,rainfall_1d_to_7d,rainfall_3d_to_7d,soil_moisture,mean_elevation,mean_slope,slope_risk,river_water_level_m,river_danger_level_m,river_level_ratio_to_danger,river_rise_rate_m_per_hr,river_level_change_3h_m,river_level_change_6h_m,river_level_change_24h_m,temperature_c,relative_humidity_pct,wind_speed_kmh,atmospheric_pressure_hpa,weather_condition,flood_label
2020-01-30,Almora,1.4215977144937195,73.224243128661,77.93360922909002,84.18446320825983,129.0816400224458,41.64430087754428,41.64430087754428,4.0,0.0182411376852022,0.9395720654209964,0.2873072634719648,1431.8328157550104,22.823893180273483,HIGH,2.09,6.5,0.3215,0.0,0.0,0.0,0.0,11.0,46.8,12.2,855.4,Light Rain,0
2020-01-30,Bageshwar,0.5949806831900358,22.934286270846496,29.79622729700829,40.214213259841024,81.75055614758989,12.528537436506902,12.528537436506902,4.0,0.0199683220728234,0.7697043411749274,0.2873072634719648,2313.362442097291,27.94855423282721,HIGH,2.18,7.0,0.3114,0.0,0.0,0.0,0.0,4.2,46.2,17.2,770.3,Light Rain,0
2020-01-30,Chamoli,1.4596061993459095,19.782743672905248,24.456716188255363,34.48645209372283,75.19628415209876,10.820302035226588,10.820302035226588,4.0,0.0596811987524982,0.8088879435709934,0.2873072634719648,3582.915452996762,30.55938276503016,VERY_HIGH,3.34,9.5,0.3516,0.0,0.0,0.0,0.0,-1.4,41.6,16.8,655.7,Light Rain,0
2020-01-30,Champawat,0.0485818265707243,40.790059230761386,41.8941844453627,47.66338485751247,107.27629765991894,24.703164566793788,24.703164566793788,2.0,0.0011596317258413,0.973644881673585,0.2873072634719648,1226.245121516255,24.63270918239799,HIGH,2.33,7.5,0.3107,0.0,0.0,0.0,0.0,13.1,38.5,12.9,879.3,Clear,0
2020-01-30,Dehra Dun,0.1228406896761906,44.609351723837925,48.747529582819794,57.84594176243584,161.8817962989909,38.3247593116084,38.3247593116084,3.0,0.0025199366656632,0.9151099797362804,0.2873072634719648,1077.7870418407997,17.60159251870148,MODERATE,2.82,8.5,0.3318,0.0,0.0,0.0,0.0,10.5,44.5,13.4,895.1,Light Rain,0
2020-01-30,Haridwar,0.0,21.998283512250108,30.194283503416692,35.65525184863997,108.0297276272761,21.545800695030817,21.545800695030817,2.0,0.0,0.728557866961903,0.2873072634719648,297.87155977060354,3.625138222047199,LOW,3.58,10.0,0.358,0.0,0.0,0.0,0.0,16.0,45.5,8.7,981.4,Clear,0
2020-01-30,Naini Tal,0.1400742986203006,37.7553150907046,40.17148253972896,50.56875965346236,102.854412871017,27.72800422300133,27.72800422300133,3.0,0.0034869087790041,0.9398536415356727,0.2873072634719648,869.4357508810718,15.64010029258418,MODERATE,2.16,7.2,0.3,0.0,0.0,0.0,0.0,14.3,46.1,10.7,916.8,Light Rain,0
2020-01-30,Pauri Garhwal,0.9404949384033748,38.88395450419712,44.66926159927368,52.86448538855332,129.90448503080702,20.52812072852546,20.52812072852546,3.0,0.021054633178983,0.8704857040740442,0.2873072634719648,1145.0823641253612,23.01342006581901,HIGH,3.51,9.8,0.3582,0.0,0.0,0.0,0.0,12.0,44.2,10.7,884.3,Light Rain,0
2020-01-30,Pithoragarh,0.0106514515219499,13.26905942119241,15.801001757746988,19.101282947772912,49.43351257986337,10.969708012625544,10.969708012625544,3.0,0.000674099719192,0.8397605914401094,0.2873072634719648,3316.336294233949,30.971982332445258,VERY_HIGH,2.84,9.0,0.3156,0.0,0.0,0.0,0.0,-0.6,37.1,19.5,675.3,Clear,0
2020-01-30,Rudra Prayag,2.257796145535182,18.03711011904921,21.91802020876834,49.44348071460645,116.32702813613965,7.92102570434122,7.92102570434122,4.0,0.103010948115697,0.8229351521857928,0.2873072634719648,2910.091761961188,30.96714223291616,VERY_HIGH,3.13,9.2,0.3402,0.0,0.0,0.0,0.0,0.7,45.2,17.1,712.7,Light Rain,0
