episode_id,station_id,catchment,start_utc,end_utc,positive_hours,pct_of_station_month,pct_of_total_holdout_positives
EPISODE_1_AUG_09,AUT_JNC_03,Beas_Basin_Mandi,2023-08-08T18:00:00+00:00,2023-08-09T00:00:00+00:00,7,0.94,0.58
EPISODE_1_AUG_09,DHR_KHD_06,Beas_Basin_Mandi,2023-08-08T18:00:00+00:00,2023-08-09T00:00:00+00:00,7,0.94,0.58
EPISODE_1_AUG_09,JGN_VLY_05,Beas_Basin_Mandi,2023-08-08T18:00:00+00:00,2023-08-09T00:00:00+00:00,7,0.94,0.58
EPISODE_1_AUG_09,MND_URBAN_01,Beas_Basin_Mandi,2023-08-08T18:00:00+00:00,2023-08-09T00:00:00+00:00,7,0.94,0.58
EPISODE_1_AUG_09,PND_DAM_02,Beas_Basin_Mandi,2023-08-08T18:00:00+00:00,2023-08-09T00:00:00+00:00,7,0.94,0.58
EPISODE_1_AUG_09,SDR_BSN_07,Beas_Basin_Mandi,2023-08-08T18:00:00+00:00,2023-08-09T00:00:00+00:00,7,0.94,0.58
EPISODE_1_AUG_09,THL_GRG_04,Beas_Basin_Mandi,2023-08-08T18:00:00+00:00,2023-08-09T00:00:00+00:00,7,0.94,0.58
EPISODE_2_AUG_11,AUT_JNC_03,Beas_Basin_Mandi,2023-08-10T18:00:00+00:00,2023-08-11T23:00:00+00:00,13,1.75,1.08
EPISODE_2_AUG_11,DHR_KHD_06,Beas_Basin_Mandi,2023-08-10T18:00:00+00:00,2023-08-11T23:00:00+00:00,13,1.75,1.08
EPISODE_2_AUG_11,JGN_VLY_05,Beas_Basin_Mandi,2023-08-10T18:00:00+00:00,2023-08-11T23:00:00+00:00,13,1.75,1.08
EPISODE_2_AUG_11,MND_URBAN_01,Beas_Basin_Mandi,2023-08-10T18:00:00+00:00,2023-08-11T23:00:00+00:00,13,1.75,1.08
EPISODE_2_AUG_11,PND_DAM_02,Beas_Basin_Mandi,2023-08-10T18:00:00+00:00,2023-08-11T23:00:00+00:00,13,1.75,1.08
EPISODE_2_AUG_11,SDR_BSN_07,Beas_Basin_Mandi,2023-08-10T18:00:00+00:00,2023-08-11T23:00:00+00:00,13,1.75,1.08
EPISODE_2_AUG_11,THL_GRG_04,Beas_Basin_Mandi,2023-08-10T18:00:00+00:00,2023-08-11T23:00:00+00:00,13,1.75,1.08
EPISODE_3_AUG_12_17_CATASTROPHIC,AUT_JNC_03,Beas_Basin_Mandi,2023-08-12T00:00:00+00:00,2023-08-17T00:00:00+00:00,121,16.26,10.05
EPISODE_3_AUG_12_17_CATASTROPHIC,DHR_KHD_06,Beas_Basin_Mandi,2023-08-12T00:00:00+00:00,2023-08-17T00:00:00+00:00,121,16.26,10.05
EPISODE_3_AUG_12_17_CATASTROPHIC,JGN_VLY_05,Beas_Basin_Mandi,2023-08-12T00:00:00+00:00,2023-08-17T00:00:00+00:00,121,16.26,10.05
EPISODE_3_AUG_12_17_CATASTROPHIC,MND_URBAN_01,Beas_Basin_Mandi,2023-08-12T00:00:00+00:00,2023-08-17T00:00:00+00:00,121,16.26,10.05
EPISODE_3_AUG_12_17_CATASTROPHIC,PND_DAM_02,Beas_Basin_Mandi,2023-08-12T00:00:00+00:00,2023-08-17T00:00:00+00:00,121,16.26,10.05
EPISODE_3_AUG_12_17_CATASTROPHIC,SDR_BSN_07,Beas_Basin_Mandi,2023-08-12T00:00:00+00:00,2023-08-17T00:00:00+00:00,121,16.26,10.05
EPISODE_3_AUG_12_17_CATASTROPHIC,THL_GRG_04,Beas_Basin_Mandi,2023-08-12T00:00:00+00:00,2023-08-17T00:00:00+00:00,121,16.26,10.05
EPISODE_4_AUG_22_24_SURGE,AUT_JNC_03,Beas_Basin_Mandi,2023-08-22T18:00:00+00:00,2023-08-24T00:00:00+00:00,31,4.17,2.57
EPISODE_4_AUG_22_24_SURGE,DHR_KHD_06,Beas_Basin_Mandi,2023-08-22T18:00:00+00:00,2023-08-24T00:00:00+00:00,31,4.17,2.57
EPISODE_4_AUG_22_24_SURGE,JGN_VLY_05,Beas_Basin_Mandi,2023-08-22T18:00:00+00:00,2023-08-24T00:00:00+00:00,31,4.17,2.57
EPISODE_4_AUG_22_24_SURGE,MND_URBAN_01,Beas_Basin_Mandi,2023-08-22T18:00:00+00:00,2023-08-24T00:00:00+00:00,31,4.17,2.57
EPISODE_4_AUG_22_24_SURGE,PND_DAM_02,Beas_Basin_Mandi,2023-08-22T18:00:00+00:00,2023-08-24T00:00:00+00:00,31,4.17,2.57
EPISODE_4_AUG_22_24_SURGE,SDR_BSN_07,Beas_Basin_Mandi,2023-08-22T18:00:00+00:00,2023-08-24T00:00:00+00:00,31,4.17,2.57
EPISODE_4_AUG_22_24_SURGE,THL_GRG_04,Beas_Basin_Mandi,2023-08-22T18:00:00+00:00,2023-08-24T00:00:00+00:00,31,4.17,2.57
