date,district,rainfall_mm
2023-01-01,Almora,0.0391414060324042
2023-01-01,Bageshwar,1.241901624908753
2023-01-01,Chamoli,0.4306792190135748
2023-01-01,Champawat,0.0244293434458436
2023-01-01,Dehra Dun,0.1232479549864442
2023-01-01,Haridwar,0.0563159901861952
2023-01-01,Naini Tal,0.0601417440092623
2023-01-01,Pauri Garhwal,0.04557636412355
2023-01-01,Pithoragarh,0.4564913930911063
2023-01-01,Rudra Prayag,0.4706751225937627
2023-01-01,Tehri Garhwal,0.1673198608707124
2023-01-01,Udham Singh Nagar,0.0344558830730597
2023-01-01,Uttarkashi,0.1108061811713749
2023-01-02,Almora,0.0318804218768649
2023-01-02,Bageshwar,0.4444944724325871
2023-01-02,Chamoli,0.3198292515639734
2023-01-02,Champawat,0.0
2023-01-02,Dehra Dun,0.0050388387756959
2023-01-02,Haridwar,0.0
2023-01-02,Naini Tal,0.0091941181018059
2023-01-02,Pauri Garhwal,0.0409517375002446
2023-01-02,Pithoragarh,0.1044861236190293
2023-01-02,Rudra Prayag,0.8863246708754482
2023-01-02,Tehri Garhwal,0.2046187520769236
2023-01-02,Udham Singh Nagar,0.0093482113678692
2023-01-02,Uttarkashi,0.174538012418672
2023-01-03,Almora,0.2678924809085506
2023-01-03,Bageshwar,0.4190560565184567
2023-01-03,Chamoli,0.6283480773467033
2023-01-03,Champawat,0.0
2023-01-03,Dehra Dun,0.0149816022005513
2023-01-03,Haridwar,0.0
2023-01-03,Naini Tal,0.0049911668394653
2023-01-03,Pauri Garhwal,0.3547552138102852
2023-01-03,Pithoragarh,0.030515039358718
2023-01-03,Rudra Prayag,0.7300189807290446
2023-01-03,Tehri Garhwal,0.2075786243149001
2023-01-03,Udham Singh Nagar,0.0011380431166581
2023-01-03,Uttarkashi,0.0647094573382266
2023-01-04,Almora,0.2978585872440821
2023-01-04,Bageshwar,0.1625772013400873
2023-01-04,Chamoli,0.1464016606003899
2023-01-04,Champawat,0.0
2023-01-04,Dehra Dun,0.0
2023-01-04,Haridwar,0.0
2023-01-04,Naini Tal,0.0679268401697205
2023-01-04,Pauri Garhwal,0.0470094815570501
2023-01-04,Pithoragarh,0.0366462620798382
2023-01-04,Rudra Prayag,0.0294697749542654
2023-01-04,Tehri Garhwal,0.1046754648085943
2023-01-04,Udham Singh Nagar,0.0
2023-01-04,Uttarkashi,0.0803776693704992
2023-01-05,Almora,1.0161686280827893
2023-01-05,Bageshwar,0.1668161721823066
2023-01-05,Chamoli,1.0271038050665815
2023-01-05,Champawat,0.0
2023-01-05,Dehra Dun,0.0
2023-01-05,Haridwar,0.0
2023-01-05,Naini Tal,0.0654494425510865
2023-01-05,Pauri Garhwal,0.4292140042261536
2023-01-05,Pithoragarh,0.0875244821033941
2023-01-05,Rudra Prayag,0.5013264156717143
2023-01-05,Tehri Garhwal,0.5974280243732207
2023-01-05,Udham Singh Nagar,0.0
2023-01-05,Uttarkashi,0.0963765398901553
2023-01-06,Almora,0.4105063627338654
2023-01-06,Bageshwar,0.5102398787654239
2023-01-06,Chamoli,0.2066580356424093
2023-01-06,Champawat,0.0
2023-01-06,Dehra Dun,0.000562142260534078
2023-01-06,Haridwar,4.930445390764436e-05
2023-01-06,Naini Tal,0.2780473782935172
2023-01-06,Pauri Garhwal,0.2596962403845081
2023-01-06,Pithoragarh,0.0642963719512006
2023-01-06,Rudra Prayag,0.664253870327032
2023-01-06,Tehri Garhwal,0.51654259161784
2023-01-06,Udham Singh Nagar,0.0029958616138306
2023-01-06,Uttarkashi,0.2836648216906
2023-01-07,Almora,0.0
2023-01-07,Bageshwar,0.4476268278650583
2023-01-07,Chamoli,0.1108374208274113
2023-01-07,Champawat,0.0
2023-01-07,Dehra Dun,0.006602616304454
2023-01-07,Haridwar,0.0
2023-01-07,Naini Tal,0.0
2023-01-07,Pauri Garhwal,0.0
2023-01-07,Pithoragarh,0.0901069693267128
2023-01-07,Rudra Prayag,0.1611018953738744
2023-01-07,Tehri Garhwal,0.2316684078228466
2023-01-07,Udham Singh Nagar,0.0077069169463726
2023-01-07,Uttarkashi,0.3327731346351433
2023-01-08,Almora,0.0
2023-01-08,Bageshwar,0.3484687433124397
2023-01-08,Chamoli,0.2774300960020975
2023-01-08,Champawat,0.0
2023-01-08,Dehra Dun,0.0083183425974378
2023-01-08,Haridwar,0.0012907201768956
2023-01-08,Naini Tal,0.0002956458464285
2023-01-08,Pauri Garhwal,0.0345605575263376
2023-01-08,Pithoragarh,0.0458187577955318
2023-01-08,Rudra Prayag,0.685081158827392
2023-01-08,Tehri Garhwal,0.317384188607306
2023-01-08,Udham Singh Nagar,0.0014388116936609
2023-01-08,Uttarkashi,0.1857628601527958
2023-01-09,Almora,0.1013299869542634
2023-01-09,Bageshwar,0.4692499863752504
2023-01-09,Chamoli,0.2664360732590777
2023-01-09,Champawat,0.0310893570055182
2023-01-09,Dehra Dun,0.1531261897279859
2023-01-09,Haridwar,0.3052808520833313
2023-01-09,Naini Tal,0.1139379587231754
2023-01-09,Pauri Garhwal,0.2306549167973504
2023-01-09,Pithoragarh,0.1879246774255743
2023-01-09,Rudra Prayag,0.568858361263182
2023-01-09,Tehri Garhwal,0.2384483360766539
2023-01-09,Udham Singh Nagar,0.0159739872660656
2023-01-09,Uttarkashi,0.328404679351346
2023-01-10,Almora,0.0003735086732390468
2023-01-10,Bageshwar,0.5463032973214629
2023-01-10,Chamoli,0.0956058564777551
2023-01-10,Champawat,0.0112437243708016
2023-01-10,Dehra Dun,0.0023432814664113
2023-01-10,Haridwar,0.0011392850181188
2023-01-10,Naini Tal,0.0065883818503217
2023-01-10,Pauri Garhwal,0.0038809651729641
2023-01-10,Pithoragarh,0.1369534757463774
2023-01-10,Rudra Prayag,0.1463471461782338
2023-01-10,Tehri Garhwal,0.0559330900287411
2023-01-10,Udham Singh Nagar,0.0
2023-01-10,Uttarkashi,0.0785927383465805
2023-01-11,Almora,0.1680917827682185
2023-01-11,Bageshwar,1.1996433497319232
2023-01-11,Chamoli,1.2362295629504545
2023-01-11,Champawat,1.110702797322137
2023-01-11,Dehra Dun,0.3604428903731517
2023-01-11,Haridwar,0.040324879865316
2023-01-11,Naini Tal,0.1105616728062992
2023-01-11,Pauri Garhwal,0.3116837475632224
2023-01-11,Pithoragarh,0.77145357584295
2023-01-11,Rudra Prayag,5.419288282708903
2023-01-11,Tehri Garhwal,1.0882300504873317
2023-01-11,Udham Singh Nagar,1.0362606880055734
2023-01-11,Uttarkashi,0.6863912542511189
2023-01-12,Almora,0.0467794186010383
2023-01-12,Bageshwar,0.6592490631597363
2023-01-12,Chamoli,0.2757304382112751
2023-01-12,Champawat,0.0182718368961071
2023-01-12,Dehra Dun,0.0425892602002492
2023-01-12,Haridwar,0.0191266061282229
2023-01-12,Naini Tal,0.0991354015659977
2023-01-12,Pauri Garhwal,0.0701615125556632
2023-01-12,Pithoragarh,0.1799011824013971
2023-01-12,Rudra Prayag,0.9334144868082102
2023-01-12,Tehri Garhwal,0.4907610440341627
2023-01-12,Udham Singh Nagar,0.2065673896458143
2023-01-12,Uttarkashi,0.829686562216558
2023-01-13,Almora,0.1323467978499041
2023-01-13,Bageshwar,0.1548060622749343
2023-01-13,Chamoli,0.1091428313045249
2023-01-13,Champawat,0.1547013020709093
2023-01-13,Dehra Dun,3.1271892135564823
2023-01-13,Haridwar,0.3386758145626793
2023-01-13,Naini Tal,0.7059814838535181
2023-01-13,Pauri Garhwal,0.2069173492369902
2023-01-13,Pithoragarh,0.1268089043807815
2023-01-13,Rudra Prayag,0.3472417905527796
2023-01-13,Tehri Garhwal,0.9595844160202288
2023-01-13,Udham Singh Nagar,0.1107877608693689
2023-01-13,Uttarkashi,0.4795853297397706
2023-01-14,Almora,0.3589126807419076
2023-01-14,Bageshwar,0.7307747931158006
2023-01-14,Chamoli,0.1651710027259544
2023-01-14,Champawat,0.0
2023-01-14,Dehra Dun,0.4394882698270496
2023-01-14,Haridwar,0.0251884129184387
2023-01-14,Naini Tal,0.0123573726605015
2023-01-14,Pauri Garhwal,0.0775934755029582
2023-01-14,Pithoragarh,0.1059545848078411
2023-01-14,Rudra Prayag,0.1407046595099341
2023-01-14,Tehri Garhwal,0.3574027724552892
2023-01-14,Udham Singh Nagar,0.0
2023-01-14,Uttarkashi,0.1508327557472467
2023-01-15,Almora,0.1116546864729675
2023-01-15,Bageshwar,0.4075946561112204
2023-01-15,Chamoli,0.1152438341543335
2023-01-15,Champawat,0.0
2023-01-15,Dehra Dun,0.0
2023-01-15,Haridwar,0.0
2023-01-15,Naini Tal,0.0007409331726827209
2023-01-15,Pauri Garhwal,0.0080240535259099
2023-01-15,Pithoragarh,0.2178643410992286
2023-01-15,Rudra Prayag,0.0022936096360234
2023-01-15,Tehri Garhwal,0.0
2023-01-15,Udham Singh Nagar,0.0006030150618984472
2023-01-15,Uttarkashi,0.0235172061204428
2023-01-16,Almora,0.0
2023-01-16,Bageshwar,0.0005294117538998013
2023-01-16,Chamoli,0.1649717172189773
2023-01-16,Champawat,0.0473644570110881
2023-01-16,Dehra Dun,0.0700224835108828
